央视频道,#genre#
CCTV13,http://112.254.55.106:22222/rtp/239.253.254.175:8000
CCTV14,http://112.254.55.106:22222/rtp/239.253.254.236:8000
CCTV15,http://112.254.55.106:22222/rtp/239.253.254.170:8000
CCTV17,http://112.254.55.106:22222/rtp/239.253.254.168:8000
CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
CCTV2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV4,http://115.171.216.84:4000/rtp/225.1.8.4:8092
CCTV5,http://115.171.216.84:4000/rtp/225.1.8.89:8000
CCTV5+,http://115.171.216.84:4000/rtp/225.1.8.20:8004
CCTV6,http://115.171.216.84:4000/rtp/225.1.8.84:8000
CCTV7,http://115.171.216.84:4000/rtp/225.1.8.7:8104
CCTV8,http://115.171.216.84:4000/rtp/225.1.8.85:8000
CCTV9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV10,http://115.171.216.84:4000/rtp/225.1.8.10:8116
CCTV11,http://115.171.216.84:4000/rtp/225.1.8.73:8120
CCTV12,http://115.171.216.84:4000/rtp/225.1.8.12:8124
CCTV13,http://115.171.216.84:4000/rtp/225.1.8.168:8130
CCTV14,http://115.171.216.84:4000/rtp/225.1.8.14:8132
CCTV15,http://115.171.216.84:4000/rtp/225.1.8.74:8136
CCTV17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV1,http://221.222.79.96:9999/rtp/239.3.1.129:8008
CCTV2,http://221.222.79.96:9999/rtp/239.3.1.60:8084
CCTV3,http://221.222.79.96:9999/rtp/239.3.1.172:8001
CCTV4,http://221.222.79.96:9999/rtp/239.3.1.105:8092
CCTV4欧洲,http://221.222.79.96:9999/rtp/239.3.1.213:4220
CCTV4美洲,http://221.222.79.96:9999/rtp/239.3.1.214:4220
CCTV5,http://221.222.79.96:9999/rtp/239.3.1.173:8001
CCTV5+,http://221.222.79.96:9999/rtp/239.3.1.130:8004
CCTV6,http://221.222.79.96:9999/rtp/239.3.1.174:8001
CCTV7,http://221.222.79.96:9999/rtp/239.3.1.61:8104
CCTV8,http://221.222.79.96:9999/rtp/239.3.1.175:8001
CCTV9,http://221.222.79.96:9999/rtp/239.3.1.62:8112
CCTV10,http://221.222.79.96:9999/rtp/239.3.1.63:8116
CCTV11,http://221.222.79.96:9999/rtp/239.3.1.152:8120
CCTV12,http://221.222.79.96:9999/rtp/239.3.1.64:8124
CCTV13,http://221.222.79.96:9999/rtp/239.3.1.124:8128
CCTV14,http://221.222.79.96:9999/rtp/239.3.1.65:8132
CCTV15,http://221.222.79.96:9999/rtp/239.3.1.153:8136
